,cell_type,level,niche,npos,ncont,pval,effect,dge
0,Cytotoxic T cells,global,,6011,0,2.6600626355681975e-219,0.155107268751091,
1,Cytotoxic T cells,niche,Macrophage islands,456,5555,2.620402889926316e-29,0.16180003745800292,"[{'names': 'HLA.DRB1', 'logfoldchanges': 1.5368003845214844, 'pvals_adj': 2.0784099865304827e-11}, {'names': 'HLA.DQA1', 'logfoldchanges': 1.5339598655700684, 'pvals_adj': 5.1908372805383384e-11}, {'names': 'HLA.DPA1', 'logfoldchanges': 1.454013705253601, 'pvals_adj': 1.4231085843059878e-10}, {'names': 'HLA.DRA', 'logfoldchanges': 1.449442982673645, 'pvals_adj': 3.6817657174206707e-10}, {'names': 'HLA.DRB5', 'logfoldchanges': 1.55717933177948, 'pvals_adj': 8.141190736421981e-09}]"
2,Cytotoxic T cells,niche,Smooth muscle structures,162,5849,6.576139281002947e-07,0.08728326198974701,"[{'names': 'MZT2A', 'logfoldchanges': 0.2421269714832306, 'pvals_adj': 0.5133330744525433}, {'names': 'MGP', 'logfoldchanges': 1.2567780017852783, 'pvals_adj': 0.628884164605353}, {'names': 'TIMP1', 'logfoldchanges': 0.44195041060447693, 'pvals_adj': 0.9982750364560807}, {'names': 'CLU', 'logfoldchanges': 1.428339958190918, 'pvals_adj': 0.9982750364560807}, {'names': 'IFITM3', 'logfoldchanges': 0.5183021426200867, 'pvals_adj': 0.9982750364560807}]"
3,Cytotoxic T cells,niche,Tumor surface,537,5474,9.751068665022944e-68,0.23771587807960695,"[{'names': 'S100A6', 'logfoldchanges': 1.6288573741912842, 'pvals_adj': 1.7020960386335347e-22}, {'names': 'S100A10', 'logfoldchanges': 1.6772676706314087, 'pvals_adj': 7.927462532766167e-11}, {'names': 'HSPB1', 'logfoldchanges': 1.4039796590805054, 'pvals_adj': 2.8103388687950764e-10}, {'names': 'HSP90AB1', 'logfoldchanges': 1.3742144107818604, 'pvals_adj': 3.535495898488231e-10}, {'names': 'SERPINA1', 'logfoldchanges': 1.7050635814666748, 'pvals_adj': 1.7168361422995103e-08}]"
4,Cytotoxic T cells,niche,Excluded,303,5708,2.682919659400036e-09,0.0985959969938469,"[{'names': 'MALAT1', 'logfoldchanges': -0.3048754930496216, 'pvals_adj': 0.7856027788912147}, {'names': 'CTSG', 'logfoldchanges': 0.6801577210426331, 'pvals_adj': 0.999918683410416}, {'names': 'SLC40A1', 'logfoldchanges': 0.6281745433807373, 'pvals_adj': 0.999918683410416}, {'names': 'WNT5B', 'logfoldchanges': 0.8601944446563721, 'pvals_adj': 0.999918683410416}, {'names': 'CLEC2D', 'logfoldchanges': 0.3224988281726837, 'pvals_adj': 0.999918683410416}]"
5,Cytotoxic T cells,niche,Vascular stroma,567,5444,9.6314621846736e-09,0.09611880856035887,"[{'names': 'IGFBP7', 'logfoldchanges': 0.5048077702522278, 'pvals_adj': 0.37798094863610093}, {'names': 'MGP', 'logfoldchanges': 0.627971887588501, 'pvals_adj': 0.7935783425047301}, {'names': 'GNLY', 'logfoldchanges': 0.611530601978302, 'pvals_adj': 0.999509301802348}, {'names': 'COL4A1', 'logfoldchanges': 0.9536641836166382, 'pvals_adj': 0.999509301802348}, {'names': 'BGN', 'logfoldchanges': 0.2678494155406952, 'pvals_adj': 0.999509301802348}]"
6,Cytotoxic T cells,niche,T cell aggregates,1849,4162,9.261519114458168e-74,0.24741736341212614,"[{'names': 'CXCL9', 'logfoldchanges': 2.8448290824890137, 'pvals_adj': 1.33427278076121e-61}, {'names': 'CCL19', 'logfoldchanges': 3.2794783115386963, 'pvals_adj': 7.932709887868118e-60}, {'names': 'CD74', 'logfoldchanges': 1.5922549962997437, 'pvals_adj': 2.0191231637561903e-48}, {'names': 'HLA.DPA1', 'logfoldchanges': 1.2862279415130615, 'pvals_adj': 3.7549862892485066e-24}, {'names': 'HLA.DRA', 'logfoldchanges': 1.1069684028625488, 'pvals_adj': 8.886699539550314e-17}]"
7,Cytotoxic T cells,niche,Desmoplastic stroma,1702,4309,2.7353648274457364e-54,0.21439958423564665,"[{'names': 'COL1A1', 'logfoldchanges': 1.2319029569625854, 'pvals_adj': 3.277252484132554e-30}, {'names': 'COL3A1', 'logfoldchanges': 1.3539410829544067, 'pvals_adj': 1.2038630351690923e-23}, {'names': 'COL1A2', 'logfoldchanges': 1.1353024244308472, 'pvals_adj': 2.1275478683974779e-16}, {'names': 'LUM', 'logfoldchanges': 1.1402925252914429, 'pvals_adj': 7.11814867992834e-12}, {'names': 'BGN', 'logfoldchanges': 0.9134277105331421, 'pvals_adj': 6.249984772652546e-11}]"
8,Cytotoxic T cells,niche,Tumor core,46,5965,1.5745658564460905e-30,0.16479382984037658,"[{'names': 'S100A6', 'logfoldchanges': 2.113767385482788, 'pvals_adj': 0.02452605183125991}, {'names': 'HSP90AB1', 'logfoldchanges': 2.256584405899048, 'pvals_adj': 0.06950169769759919}, {'names': 'EPCAM', 'logfoldchanges': 3.5996809005737305, 'pvals_adj': 0.15170091922616474}, {'names': 'VEGFA', 'logfoldchanges': 3.471667766571045, 'pvals_adj': 0.15170091922616474}, {'names': 'HSPA1A', 'logfoldchanges': 2.400406837463379, 'pvals_adj': 0.15170091922616474}]"
9,Cytotoxic T cells,niche,Alveolar spaces,225,5786,8.352069684072387e-09,0.09639902149001572,"[{'names': 'CAV1', 'logfoldchanges': 1.6322680711746216, 'pvals_adj': 0.41997541950877454}, {'names': 'IGFBP7', 'logfoldchanges': 0.8066301345825195, 'pvals_adj': 0.4323422676559316}, {'names': 'GPX3', 'logfoldchanges': 1.8056389093399048, 'pvals_adj': 0.46647978066586127}, {'names': 'MZT2A', 'logfoldchanges': -0.1458427757024765, 'pvals_adj': 0.9998750314547122}, {'names': 'SELENOP', 'logfoldchanges': 1.2779276371002197, 'pvals_adj': 0.9998750314547122}]"
