cell_type,niche,names,scores,logfoldchanges,pvals,pvals_adj
Neutrophil,Cancer - myeloid-enriched,IL23A,1.0474026,26.986658,0.2949139325872525,1.0
Neutrophil,Cancer - myeloid-enriched,PTGS1,0.8379221,26.663986,0.4020744666040137,1.0
Neutrophil,Cancer - myeloid-enriched,IL4,0.6284416,26.17966,0.5297147183481059,1.0
Neutrophil,Cancer - myeloid-enriched,CXCR5,0.6284416,25.832224,0.5297147183481059,1.0
Neutrophil,Cancer - myeloid-enriched,CCL21,0.6284416,25.77302,0.5297147183481059,1.0
Neutrophil,Cancer - myeloid-enriched,CD27,0.5237013,25.690565,0.6004863109338249,1.0
Neutrophil,Cancer - myeloid-enriched,CDKN2A,0.5237013,25.659452,0.6004863109338249,1.0
Neutrophil,Cancer - myeloid-enriched,LILRB4,0.41896105,25.420021,0.675244605485097,1.0
Neutrophil,Cancer - myeloid-enriched,CCL7,0.41896105,25.38218,0.675244605485097,1.0
Neutrophil,Cancer - myeloid-enriched,CHIT1,0.5237013,25.353106,0.6004863109338249,1.0
Neutrophil,Cancer - myeloid-enriched,ZNF683,0.41896105,25.269196,0.675244605485097,1.0
Neutrophil,Cancer - myeloid-enriched,AIRE,0.41896105,25.193443,0.675244605485097,1.0
Neutrophil,Cancer - myeloid-enriched,CLEC10A,0.5237013,25.164915,0.6004863109338249,1.0
Neutrophil,Cancer - myeloid-enriched,IL12RB2,0.41896105,25.028788,0.675244605485097,1.0
Neutrophil,Cancer - myeloid-enriched,CDKN1C,0.3142208,24.982946,0.7533533609886947,1.0
Neutrophil,Cancer - myeloid-enriched,CD79B,0.3142208,24.88943,0.7533533609886947,1.0
Neutrophil,Cancer - myeloid-enriched,IFNL1,0.3142208,24.820154,0.7533533609886947,1.0
Neutrophil,Cancer - myeloid-enriched,PLD4,0.3142208,24.761192,0.7533533609886947,1.0
Neutrophil,Cancer - myeloid-enriched,FLT3LG,-0.23160875,-24.75397,0.8168419153009892,1.0
