cell_type,niche,names,scores,logfoldchanges,pvals,pvals_adj
Fibroblasts,Tumor surface,IGFBP5,21.041779,2.251929,2.7197899207181638e-98,8.703327746298124e-96
Fibroblasts,Tumor surface,PTGDS,-25.050482,-2.1601326,1.7248963102671315e-138,8.279502289282231e-136
Fibroblasts,Tumor surface,FN1,34.37862,1.7859544,5.263287852298718e-259,5.052756338206769e-256
Fibroblasts,Tumor surface,CCL19,-4.803842,-1.6039623,1.5564958573032375e-06,2.2302030194195642e-05
Fibroblasts,Tumor surface,COL11A1,16.716482,1.5192896,9.941809320411964e-63,2.3860342368988713e-60
Fibroblasts,Tumor surface,IGKC,-11.406787,-1.5034868,3.8675336630719515e-30,2.6520230832493383e-28
Fibroblasts,Tumor surface,GPX3,-6.1049232,-1.4503647,1.0285014198078017e-09,1.862945967953754e-08
Fibroblasts,Tumor surface,IGHG1,-8.92456,-1.3797427,4.474742592929901e-19,1.534197460433109e-17
Fibroblasts,Tumor surface,MMP1,3.7685099,1.3155198,0.00016422493954479847,0.001677190871946878
Fibroblasts,Tumor surface,IGHG2,-5.533641,-1.3096346,3.136510704782119e-08,5.376875493912204e-07
Fibroblasts,Tumor surface,SELENOP,-8.559095,-1.3038886,1.1375690420839274e-17,3.765745794484725e-16
Fibroblasts,Tumor surface,CLU,-4.337611,-1.273782,1.4403969262123815e-05,0.0001750355758435299
Fibroblasts,Tumor surface,IGHA1,-4.6168118,-1.2264209,3.896806176312848e-06,5.344191327514763e-05
Fibroblasts,Tumor surface,TAGLN,15.5103245,1.1578952,2.953834311133796e-54,4.7261348978140735e-52
Fibroblasts,Tumor surface,CFD,-4.4293513,-1.1405308,9.451695092225916e-06,0.00012098169718049172
Fibroblasts,Tumor surface,VEGFA,9.951927,1.1368504,2.4734512074040012e-23,1.0323970256990613e-21
Fibroblasts,Tumor surface,TPM1,13.150825,1.1198721,1.683278359730365e-39,1.6159472253411504e-37
Fibroblasts,Tumor surface,VCAN,14.823627,1.0652616,1.0306527873569552e-49,1.4134666798038243e-47
Fibroblasts,Tumor surface,LGALS1,13.578061,1.001832,5.4038135364529397e-42,5.7640677722164695e-40
Fibroblasts,Tumor surface,COL14A1,-11.590482,-0.9968829,4.6053317467827655e-31,3.4008603668549654e-29
Fibroblasts,Tumor surface,CTNNB1,10.334749,0.97195756,4.906922125914823e-25,2.2431644004182048e-23
Fibroblasts,Tumor surface,TNFRSF19,6.3638387,0.9707976,1.9677265636032568e-10,3.855137757263524e-09
Fibroblasts,Tumor surface,CELSR1,2.9608686,0.9629676,0.0030677288358241478,0.02560886680340158
Fibroblasts,Tumor surface,INHBA,9.511453,0.96293265,1.8801837657010695e-21,7.219905660292107e-20
Fibroblasts,Tumor surface,SOX4,7.3787503,0.9564118,1.5978215406681486e-13,4.2608574417817294e-12
Fibroblasts,Tumor surface,HILPDA,10.321805,0.9209973,5.615748336288678e-25,2.4505083649259688e-23
Fibroblasts,Tumor surface,ITGB5,10.707865,0.9125694,9.349342289246534e-27,5.2796285868686315e-25
Fibroblasts,Tumor surface,COL5A1,12.214331,0.8911315,2.6063669886689545e-34,2.0850935909351634e-32
Fibroblasts,Tumor surface,THBS2,12.773601,0.8901825,2.3025093601159104e-37,2.0094627142829766e-35
Fibroblasts,Tumor surface,COL6A3,14.396839,0.889789,5.416449624098042e-47,6.49973954891765e-45
Fibroblasts,Tumor surface,MMP14,10.611671,0.8819491,2.6300129211575544e-26,1.4026735579506957e-24
Fibroblasts,Tumor surface,COL8A1,11.046422,0.8777106,2.2812707753013324e-28,1.4600132961928527e-26
Fibroblasts,Tumor surface,MGP,-10.4025345,-0.87406313,2.414241184417218e-25,1.1588357685202646e-23
Fibroblasts,Tumor surface,CD55,4.150463,0.85750264,3.3180332927095076e-05,0.0003837725254218226
Fibroblasts,Tumor surface,ACTA2,7.3088903,0.850078,2.6935769411172184e-13,6.8048259565066575e-12
Fibroblasts,Tumor surface,IGFBP7,-15.939755,-0.8344781,3.356668863111154e-57,6.444804217173416e-55
Fibroblasts,Tumor surface,CENPF,-0.57820845,-0.83106965,0.5631233798806123,0.9979578088331161
Fibroblasts,Tumor surface,IGF1,-7.9070373,-0.83101624,2.635864709652318e-15,7.907594128956954e-14
Fibroblasts,Tumor surface,COL15A1,5.500031,0.8192237,3.797245341699077e-08,6.28509573798468e-07
Fibroblasts,Tumor surface,FZD1,6.7161126,0.8060809,1.8663685719388714e-11,3.895030063176775e-10
Fibroblasts,Tumor surface,RGS2,5.3835144,0.80171686,7.304534745838325e-08,1.1310247348394825e-06
Fibroblasts,Tumor surface,COL21A1,-1.4501551,-0.80133915,0.14701526228772957,0.715297341230326
Fibroblasts,Tumor surface,RARRES2,10.478443,0.7817304,1.0851553947304778e-25,5.482890415480309e-24
Fibroblasts,Tumor surface,JCHAIN,-1.3511088,-0.77276564,0.17666058104019944,0.8114553004717294
Fibroblasts,Tumor surface,HSPB1,9.162243,0.73601127,5.082975713959732e-20,1.87679103284667e-18
Fibroblasts,Tumor surface,KLF2,4.1750493,0.73027116,2.979215582010491e-05,0.00034878621447927697
Fibroblasts,Tumor surface,MIF,7.8719525,0.72660244,3.4914913835584443e-15,1.015706584307911e-13
Fibroblasts,Tumor surface,GSN,9.011768,0.7258112,2.027608066025559e-19,7.209273123646433e-18
Fibroblasts,Tumor surface,COL12A1,5.492363,0.7196579,3.96591692168915e-08,6.453017364104379e-07
Fibroblasts,Tumor surface,MXRA8,8.096466,0.7150056,5.657865414391837e-16,1.752113160585859e-14
Fibroblasts,Tumor surface,GDF15,-3.2130527,-0.71387804,0.0013133220047179125,0.011257045754724963
Fibroblasts,Tumor surface,IFIT1,-1.2098138,-0.71339345,0.22635034637635842,0.9408175249933368
Fibroblasts,Tumor surface,BGN,10.800881,0.7088854,3.409168002479506e-27,2.0455008014877035e-25
Fibroblasts,Tumor surface,PDGFC,3.6038392,0.69012743,0.0003135510123754983,0.0030715201212293715
Fibroblasts,Tumor surface,KRT19,2.9440162,0.68840474,0.003239831417024283,0.026812397933994068
Fibroblasts,Tumor surface,COL3A1,8.485133,0.67658806,2.154726375340826e-17,6.8951244010906435e-16
Fibroblasts,Tumor surface,C1QC,-2.8219085,-0.66942376,0.0047738782354642545,0.038191025883714036
Fibroblasts,Tumor surface,RSPO2,-0.5276807,-0.66543984,0.5977209860526403,0.9979578088331161
Fibroblasts,Tumor surface,IL6ST,-4.6742926,-0.66527224,2.949684640700838e-06,4.1304115365652086e-05
Fibroblasts,Tumor surface,ITGA5,3.7164617,0.66468304,0.00020203229822169142,0.002041589539924461
Fibroblasts,Tumor surface,S100A10,5.4491277,0.6604886,5.0617495743776195e-08,7.966032117053303e-07
Fibroblasts,Tumor surface,CCL2,-4.556317,-0.6566927,5.205840533188859e-06,7.038882974452543e-05
Fibroblasts,Tumor surface,ITGB8,-1.3755955,-0.653581,0.16894690878232754,0.7873254001506527
Fibroblasts,Tumor surface,EPCAM,2.0503318,0.65333474,0.040332051755110856,0.24505550433485077
Fibroblasts,Tumor surface,MMP3,1.1002845,0.6506705,0.2712081815640226,0.9979578088331161
Fibroblasts,Tumor surface,ITGB1,6.9288964,0.64893746,4.24135638827935e-12,9.694528887495658e-11
Fibroblasts,Tumor surface,ITGAV,5.763445,0.6452526,8.241421559199205e-09,1.438502672151134e-07
Fibroblasts,Tumor surface,RGCC,-3.2879608,-0.63916224,0.0010091589306433532,0.008970301605718696
Fibroblasts,Tumor surface,ANGPT1,-1.6240938,-0.63809603,0.10435580258185395,0.5444650569488032
Fibroblasts,Tumor surface,C1QA,-3.2233841,-0.6341475,0.0012668557624745341,0.010956590378158132
Fibroblasts,Tumor surface,TPM2,7.1595173,0.63332415,8.096152005165785e-13,1.895684371941257e-11
Fibroblasts,Tumor surface,CD74,-6.9159408,-0.6224573,4.6476936077051894e-12,1.037624619394647e-10
Fibroblasts,Tumor surface,CTSW,-0.79941887,-0.6205635,0.42404756410187294,0.9979578088331161
Fibroblasts,Tumor surface,RARRES1,-4.11648,-0.61242586,3.847028005087559e-05,0.0004396603434385782
Fibroblasts,Tumor surface,SLC2A1,1.4515263,0.61088413,0.14663335914908746,0.715297341230326
Fibroblasts,Tumor surface,MET,1.1957219,0.609131,0.23180511422820838,0.9550768654896139
Fibroblasts,Tumor surface,ADGRV1,0.64334637,0.6077491,0.5199993826811216,0.9979578088331161
Fibroblasts,Tumor surface,C1QB,-2.6205983,-0.60619265,0.008777559423732647,0.06532137245568481
Fibroblasts,Tumor surface,SOD2,-6.2229376,-0.59803426,4.87931765426951e-10,9.368289896197459e-09
Fibroblasts,Tumor surface,TACSTD2,1.3100593,0.5968087,0.19017575603392278,0.8452255823729902
Fibroblasts,Tumor surface,COL5A2,7.165853,0.5964111,7.730370465395907e-13,1.855288911695018e-11
Fibroblasts,Tumor surface,IL34,-1.3884045,-0.5947603,0.1650139140316279,0.7727480852212819
Fibroblasts,Tumor surface,SEC23A,4.3530383,0.59184015,1.3426382166210886e-05,0.00016680223145674133
Fibroblasts,Tumor surface,ITGAE,1.4168508,0.58200103,0.15652654622107748,0.7513274218611719
Fibroblasts,Tumor surface,S100A6,7.7915525,0.5804166,6.6190680386899206e-15,1.8689133285712717e-13
Fibroblasts,Tumor surface,NDRG1,2.8948324,0.57943904,0.003793610962011161,0.030603920365804324
Fibroblasts,Tumor surface,COL16A1,7.3632464,0.5785314,1.7949052494899311e-13,4.657051458136038e-12
Fibroblasts,Tumor surface,APOA1,0.8659958,0.5739813,0.38649244817816253,0.9979578088331161
Fibroblasts,Tumor surface,TNFSF13B,-1.7694254,-0.57184917,0.07682291742049469,0.4190340950208801
Fibroblasts,Tumor surface,ZFP36,-6.8005304,-0.57166713,1.0423457658221453e-11,2.2236709670872435e-10
Fibroblasts,Tumor surface,CLEC1A,1.041274,0.56837946,0.29774842663971546,0.9979578088331161
Fibroblasts,Tumor surface,BMPR2,3.4279773,0.554278,0.0006080961318563004,0.005507285722472155
